position-X	position-Y
0.000000000 	 1.000000000 
0.300302286 	 1.000012428 
0.601191421 	 1.000111516 
0.902298807 	 1.000033219 
1.202596916 	 0.999084113 
1.501966741 	 0.997170481 
1.800419824 	 0.994294479 
2.098004411 	 0.990465442 
2.394798281 	 0.985699317 
2.690840180 	 0.980002554 
2.986166088 	 0.973379307 
3.280864679 	 0.965838645 
3.574968136 	 0.957384303 
3.868477003 	 0.948013374 
4.161296787 	 0.937716408 
4.453332758 	 0.926483337 
4.744675545 	 0.914319991 
5.035347886 	 0.901228264 
5.325285886 	 0.887204835 
5.614518695 	 0.872249737 
5.903161846 	 0.856365237 
6.191156645 	 0.839552776 
6.478417198 	 0.821813669 
6.764927912 	 0.803148044 
7.050756544 	 0.783552890 
7.335911549 	 0.763029317 
7.620339517 	 0.741581064 
7.904078246 	 0.719206262 
8.187208498 	 0.695899793 
8.469595933 	 0.671675097 
8.751119950 	 0.646544831 
9.031823756 	 0.620506970 
9.311736137 	 0.593561975 
9.590850728 	 0.565713751 
9.869172696 	 0.536964403 
10.146716994 	 0.507314630 
10.423529713 	 0.476760183 
10.699650317 	 0.445296821 
10.975022220 	 0.412935567 
11.249617156 	 0.379685085 
11.523411951 	 0.345552694 
11.796417820 	 0.310538179 
12.068767133 	 0.274622648 
12.340483270 	 0.237806385 
12.611527101 	 0.200098241 
12.881881308 	 0.161502751 
13.151556576 	 0.122022061 
13.420588977 	 0.081653864 
13.688997969 	 0.040397826 
13.956889869 	 -0.001749046 
14.224270026 	 -0.044781455 
14.490969399 	 -0.088685500 
14.756986581 	 -0.133458196 
15.022283585 	 -0.179089633 
15.286863893 	 -0.225576906 
15.550745525 	 -0.272919669 
15.813916571 	 -0.321112027 
16.076355705 	 -0.370146932 
16.338063100 	 -0.420021583 
16.599030807 	 -0.470732458 
16.859262403 	 -0.522277701 
17.118787857 	 -0.574657263 
17.377602545 	 -0.627868312 
17.635692365 	 -0.681907290 
17.893073122 	 -0.736771257 
18.150942478 	 -0.792371864 
18.409875622 	 -0.848680059 
18.669465889 	 -0.905805214 
18.929557865 	 -0.963783006 
19.190126768 	 -1.022615218 
19.451158723 	 -1.082300880 
19.712654120 	 -1.142835031 
19.974621784 	 -1.204210186 
20.237075628 	 -1.266416726 
20.500041455 	 -1.329440543 
20.763550902 	 -1.393266115 
21.027640878 	 -1.457876307 
21.292352292 	 -1.523252712 
21.557725800 	 -1.589377466 
21.823802501 	 -1.656232830 
22.090627569 	 -1.723799433 
22.358245394 	 -1.792059501 
22.626699527 	 -1.860996028 
22.896032705 	 -1.930592419 
23.166276430 	 -2.000837341 
23.437458328 	 -2.071721913 
23.709605553 	 -2.143238167 
23.982745998 	 -2.215377898 
24.256904209 	 -2.288134674 
24.532097670 	 -2.361505160 
24.808339994 	 -2.435487862 
25.085641940 	 -2.510081322 
25.364013559 	 -2.585284594 
25.643462620 	 -2.661097940 
25.923995834 	 -2.737521279 
26.205616497 	 -2.814554005 
26.488326190 	 -2.892195590 
26.772127230 	 -2.970444734 
27.057022270 	 -3.049299538 
27.343013252 	 -3.128758326 
27.630101676 	 -3.208818978 
27.918289441 	 -3.289478930 
28.207579044 	 -3.370735247 
28.497973309 	 -3.452584789 
28.789474977 	 -3.535024584 
29.082086847 	 -3.618051505 
29.375812261 	 -3.701661227 
29.670654521 	 -3.785849098 
29.966617558 	 -3.870610425 
30.263704786 	 -3.955940764 
30.561919860 	 -4.041835282 
30.861266758 	 -4.128288922 
31.161749386 	 -4.215296613 
31.463371241 	 -4.302852981 
31.766136152 	 -4.390952331 
32.070047997 	 -4.479588959 
32.375110703 	 -4.568757137 
32.681328892 	 -4.658450792 
32.988707336 	 -4.748663718 
33.297250702 	 -4.839389535 
33.606963467 	 -4.930621927 
33.917849953 	 -5.022354672 
34.229914493 	 -5.114581560 
34.543161426 	 -5.207296228 
34.857595160 	 -5.300492205 
35.173220827 	 -5.394162513 
35.490043685 	 -5.488299953 
35.808068378 	 -5.582897557 
36.127299057 	 -5.677948608 
36.447739718 	 -5.773446113 
36.769393957 	 -5.869382850 
37.092258676 	 -5.965754713 
37.416326611 	 -6.062559719 
37.741591355 	 -6.159795460 
38.068046798 	 -6.257459441 
38.395686626 	 -6.355548923 
38.724504698 	 -6.454060814 
39.054495089 	 -6.552991996 
39.385652024 	 -6.652339617 
39.717969785 	 -6.752101135 
40.051442607 	 -6.852274095 
40.386064793 	 -6.952856015 
40.721830743 	 -7.053844299 
41.058734934 	 -7.155235528 
41.396771828 	 -7.257024883 
41.735935806 	 -7.359212334 
42.076221391 	 -7.461795816 
42.417623168 	 -7.564772881 
42.760135806 	 -7.668141016 
43.103754008 	 -7.771897675 
43.448472560 	 -7.876040244 
43.794286292 	 -7.980566074 
44.141190099 	 -8.085472445 
44.489178948 	 -8.190756597 
44.838247839 	 -8.296415718 
45.188391799 	 -8.402447077 
45.539605845 	 -8.508848091 
45.891884988 	 -8.615616209 
46.245224350 	 -8.722748882 
46.599619075 	 -8.830243559 
46.955064251 	 -8.938097706 
47.311555076 	 -9.046308795 
47.669086792 	 -9.154874294 
48.027654615 	 -9.263791676 
48.387253610 	 -9.373059372 
48.747878122 	 -9.482679530 
49.109522316 	 -9.592655470 
49.472180793 	 -9.702989009 
49.835849003 	 -9.813679120 
50.200522489 	 -9.924724449 
50.566196914 	 -10.036123605 
50.932867833 	 -10.147875213 
51.300530305 	 -10.259977976 
51.669180267 	 -10.372430460 
52.038813794 	 -10.485231209 
52.409426960 	 -10.598378766 
52.781015840 	 -10.711871677 
53.153576509 	 -10.825708484 
53.527105042 	 -10.939887734 
53.901597513 	 -11.054407968 
54.277049996 	 -11.169267733 
54.653458566 	 -11.284465572 
55.030819134 	 -11.400000051 
55.409127698 	 -11.515869716 
55.788378808 	 -11.632073044 
56.168564994 	 -11.748608451 
56.549678324 	 -11.865474312 
56.931710756 	 -11.982668988 
57.314655427 	 -12.100190979 
57.698507923 	 -12.218039108 
58.083264241 	 -12.336212229 
58.468920481 	 -12.454709186 
58.855472743 	 -12.573528823 
59.242916893 	 -12.692670016 
59.631248969 	 -12.812131622 
60.020465318 	 -12.931912454 
60.410562284 	 -13.052011325 
60.801536212 	 -13.172427047 
61.193383448 	 -13.293158433 
61.586100336 	 -13.414204296 
